ID,DistrictsAndNeighbourhoods,Encoding_3,Within1Km_45,Within3Km_46,Within5Km_47,DistanceToHotelEtc_48,Within5Km_49,Within105km_50,Within20Km_51,DistanceToDaycareCentres_52,Within1Km_53,Within3Km_54,Within5Km_55,DistanceToOutOfSchoolCare_56,Within1Km_57,Within3Km_58,Within5Km_59,DistanceToSchool_60,Within1Km_61,Within3Km_62,Within5Km_63
11000,BU03561301,BU03561301,11.5,19.7,64.6,       .,       .,       .,       .,0.4,2.5,9.1,22.5,0.8,0.9,7.0,15.1,0.5,1.4,5.7,14.5
11001,BU03561302,BU03561302,8.3,20.3,57.1,       .,       .,       .,       .,0.6,2.3,9.1,21.2,0.9,0.8,7.0,14.2,0.7,1.1,5.3,13.4
11002,WK035614,WK035614,3.8,37.9,78.0,       .,       .,       .,       .,0.3,1.0,16.3,31.2,1.4,0.0,10.3,25.3,1.2,0.1,13.5,20.4
11003,BU03561400,BU03561400,3.8,37.9,78.0,       .,       .,       .,       .,0.3,1.0,16.3,31.2,1.4,0.0,10.3,25.3,1.2,0.1,13.5,20.4
11004,WK035615,WK035615,2.2,43.0,81.9,       .,       .,       .,       .,0.8,1.0,15.6,34.9,1.0,1.6,11.3,30.7,1.0,0.8,10.3,24.2
11005,BU03561500,BU03561500,2.2,43.0,81.9,       .,       .,       .,       .,0.8,1.0,15.6,34.9,1.0,1.6,11.3,30.7,1.0,0.8,10.3,24.2
11006,WK035616,WK035616,9.9,23.4,85.8,       .,       .,       .,       .,0.6,2.4,10.0,29.7,0.4,1.5,7.0,22.9,0.4,3.3,6.0,22.4
11007,BU03561600,BU03561600,9.9,23.4,85.8,       .,       .,       .,       .,0.6,2.4,10.0,29.7,0.4,1.5,7.0,22.9,0.4,3.3,6.0,22.4
11008,WK035618,WK035618,0.0,5.4,37.6,       .,       .,       .,       .,2.4,0.0,2.9,13.0,2.4,0.0,1.8,9.2,1.7,0.0,2.0,9.6
11009,BU03561800,BU03561800,0.0,5.4,37.6,       .,       .,       .,       .,2.4,0.0,2.9,13.0,2.4,0.0,1.8,9.2,1.7,0.0,2.0,9.6
11010,WK035620,WK035620,0.9,5.2,82.7,       .,       .,       .,       .,2.4,0.0,6.5,44.1,2.8,0.0,5.4,40.1,2.6,0.0,5.7,26.1
11011,BU03562001,BU03562001,1.0,6.0,107.0,       .,       .,       .,       .,2.1,0.0,9.0,56.0,2.8,0.0,7.0,48.0,2.1,0.0,8.0,32.0
